№,Объект,router,olt,switch,controller,кол-во AP,AP-IP,UpLink,Адрес,Комментарии,zbx,owfV2,6hhz,,,,,,
114,02-ALM-OWF-Orbita-Bazar,10.40.220.209,,"10.41.149.45 
10.41.149.46",http://85.116.184.131:8080,5,10.41.152.81/85,02-ALM-US20-SW-001,"Орбита-2, базар",sw-admin/Mo27Cna1E,-,,,,,,,,
115,02-ALM-OWF-Apart-Hotel-AlFarab,10.41.7.129,,10.41.7.130,http://85.116.184.131:8080,4,10.41.7.141/144,02-ALM-Office-R2-CORE,"проспект Аль-Фараби, 103блок1",Up-Link сторонний оператор,+,,,,,,,,
117,02-ALM-OWF-AYUSAY,"10.41.149.28 - R
10.10.11.123 - R - Starlink  127.27.127.56 - R Starlink (unifiAstana)",,"10.41.149.26 - SW001
SW 1-8 10.41.7.226-10.41.7.233
10.41.149.42-heX",,16,10.41.7.225/27,02-ALM-US141-SW-002,"Микрорайон Кокшокы, 1а",sw-admin/Mo27Cna1E,+,,,,,,,,
118,B2B_PANAAYUSAI_Tary_Abylai_hana_55,85.116.188.140,,,,2,10.41.7.82,02-ALM-US65-SW-001,Абылай хана 55,,+,,+,,,,,,
119,02-ALM-OWF-AlemPark,10.40.220.209,,"10.41.149.38-SW1, 10.41.149.39-SW2, 10.41.149.41-heX_SW3, 10.41.149.65-heX2_office, 10.41.149.66-heX3_Cafe, 10.41.149.69-heX4_Cafe_2floor",,8,10.41.8.16/28,02-ALM-US93K1-SW-001,"Улица Жунисова, 340/42",,-,,,,,,,,
120,02-ALM-B2B_FAMILY_CENTER_Zhumalieva,"85.116.188.223
10.41.149.5",,,,1,10.41.8.54,02-ALM-ZHUMALIYEVA-18-OLT-037,Жумалиева 18,,+,,+,,,,,,
121,02-ALM-B2B-KazGroupMetal_ratushnogo_64b,85.116.189.2,,10.41.149.48,,2,10.41.8.57/29,02-ALM-US74-SW-001,Ратушного 64Б,нет линка с БС с 22 авг,+,,,,,,,,
122,02-ALM-B2B-Medicina-Abaya89,"85.116.188.197
10.41.149.33",,,,2,"10.41.7.213
10.41.7.214",02-ALM-US30-SW-001,Абая 89,,+,,+,,,,,,
123,02-ALM-B2B-ChechilPub-mkr4-24B,10.41.148.164,,,,1,10.41.5.168/29,,mkr4-24B,,+,,+,,,,,,
124,02-ALM-B2B-Mur-Mur,10.41.148.121,,,,2,"10.41.4.237, 10.41.4.238",02-ALM-US120-SW-001,"Абылай хана, 141",,+,,+,,,,,,
125,02-ALM-B2B_Suleimanov_Tatarskaya_25,10.41.149.56,,,,1,10.41.8.86,02-ALM-US75-SW-001,Татарская 25,клиента нет,+,,,,,,,,
126,02-ALM-B2B-Jolly-Abaya-109B,10.41.149.57,,,,1,10.41.8.97/29,02-ALM-GLOBUS-SW-001,Абая 109В,,+,,+,,,,,,
127,02-ALM-B2B-KitonikGroup,"10.41.149.58
178.20.177.170",,,,2,10.41.8.89/29,02-ALM-US29-SW-001,Абая 58а,,+,,недоступен,,,,,,
128,B2B_Nazarbayeva_223_RELOG,"85.116.188.216
10.41.149.59",,,,5,10.41.8.97/29,02-ALM-US112-SW-001,Назарбаева 233,,не хорека,,+,,,,,,
129,02-ALM-B2B-TaumanQurulys-Markova75,"10.41.149.44
85.116.188.158",,,,1,10.41.8.41/29,02-ALM-MARKOVA-75-OLT-035,Маркова 75,,+,,+,,,,,,
130,02-ALM-B2B-Partner-Link-Zhandosova,"10.41.149.63
85.116.189.144",,,,2,10.41.8.113/29,02-ALM-US16K1-SW-001,Жандосова 188а,,+,,недоступен,,,,,,
131,02-ALM-B2B-CDEK-Express-Rayimbeka486,"10.41.149.68
94.131.236.43",,10.41.148.126,,10,10.41.8.240/28,02-ALM-US49-SW-001,Райымбека 486,,+,,ТД не пингуются,,,,,,
133,02-ALM-B2B_Aikon_Klub,10.41.149.70,,,,1,10.41.8.210,02-ALM-US65-SW,Жибек жолы 6,,+,,+,,,,,,
135,02-ALM-B2B-Key-One-Zhambyla-48,"10.41.149.73
128.127.102.96",,,,1,,02-ALM-US120-SW-001,"Жамбыла 48, Магазин №33",еще не подключали,-,,,,,,,,
137,02-ALM-B2B-Key-One-Abylaihana-3a,"10.41.149.74
85.116.189.34",,,,1,10.41.8.233/29,02-ALM-US73-SW-001,"Абылай хана 3а, Магазин №40",,+,,+,,,,,,
138,02-ALM-B2B-Key-One-Ondasynova28,10.41.149.75 178.20.179.230,,,,1,10.41.8.126,02-ALM-US38-SW-001,Ондасынова 28,,-,,+,,,,,,
139,02-ALM-B2B_Key_One_Zharokova_219,"10.41.149.79
178.20.177.123",,,,1,10.41.9.2,02-ALM-US24-SW-001,Жарокова 219,,-,,нет линка на ТД,,,,,,
140,02-ALM-B2B-Key-One-Koktem3-17,"10.41.149.83
85.116.189.32",,,,1,10.41.9.30,02-ALM-US30-SW-001,"мкр. Коктем 3 17, магазин",,+,,нет линка на ТД,,,,,,
141,02-ALM-B2B-BeremkulovBO_Aksay3,"10.41.149.86
128.127.102.12",,,,1,10.41.9.41/29,,"микрорайон Аксай-3,, 5/1, офис",линка нет. возможно откз,,,,,,,,,
142,02-ALM-B2B_BeremkulovB.O_Aksay_3B_1B,"10.41.149.87
85.116.188.227",,,,2,10.41.9.49/29,BS_10SW2,микрорайон Аксай-3В-1В,линка нет. возможно откз,,,,,,,,,
144,02-ALM-B2B-RUSLANTOMASSOV-Kazhymukana-101,"10.41.149.35
85.116.188.220",,,,3,10.41.9.65/29,BS_37SW1,"улица Кажымукана, 101/1",,+,,+,,,,,,
146,02-ALM-B2B-ROYAL-FLOWERS-Kanysha-Satpayeva7a,"10.41.149.101
85.116.190.29",,,,4,10.41.9.137/29,BS_34SW,Сатпаева 72А/3,,+,,недоступен,,,,,,
147,02-ALM-B2B-Nazarbaeva-187-ARYN-URB,"10.41.149.89
128.127.102.251",,,,3,10.41.9.129/29,BS_34SW2,Назарбаева 187,,+,,+,,,,,,
148,02-B2B_IP_Saurambaev_Kaganat_Dostyk_108,10.41.149.104 ,,,,3,10.41.9.152/29,ОЛТ   10.40.240.7,Достык 108,,+,,+,,,,,,
149,02-ALM-B2B-GLOBALLINK-COMMERCE-Karasay-batyra229,"10.41.149.106
85.116.190.53",,,,2,10.41.9.161/29,UpLink-from-BS_53SW,"Карасай Батыра, 229",,+,,+,,,,,,
